Employee_ID,Age,Experience_Years,Hours_Worked_Per_Week,Productivity_Score,Burnout_Score,Sleep_Hours_Per_Day,Work_Life_Balance_Rating,Remote_Setup_Satisfaction,Team_Communication_Effectiveness,Descriptive Stats Tables,
36,48,7,49,5,23,8,10,5,2,MAX of Sleep_Hours_Per_Day,9
37,31,9,46,7,41,7,3,7,4,MAX of Burnout_Score,87
38,49,6,41,5,60,5,6,3,6,MAX of Work_Life_Balance_Rating,10
39,49,13,42,4,47,6,4,5,9,MAX of Remote_Setup_Satisfaction,10
40,37,3,37,4,32,8,6,2,8,MAX of Team_Communication_Effectiveness,10
41,36,1,42,4,72,9,3,9,8,Standard Deviation,
42,36,13,41,4,24,6,9,3,5,STDEV of Age,8
43,40,5,44,4,34,6,9,4,5,STDEV of Experience_Years,6
44,33,2,38,8,26,9,10,2,5,STDEV of Hours_Worked_Per_Week,5
45,44,9,45,4,75,7,3,6,10,STDEV of Productivity_Score,2
46,41,2,50,5,87,4,7,9,2,STDEV of Sleep_Hours_Per_Day,1
47,46,18,42,9,62,9,6,5,9,STDEV of Burnout_Score,22
48,24,2,44,6,60,5,5,3,7,STDEV of Work_Life_Balance_Rating,2
49,26,12,46,8,48,7,5,8,6,STDEV of Remote_Setup_Satisfaction,3
50,40,9,40,4,60,5,5,8,8,STDEV of Team_Communication_Effectiveness,2
51,28,14,43,4,79,4,8,3,6,,
52,42,7,42,3,15,6,7,8,9,,
53,30,4,43,4,76,8,6,10,9,,
54,28,20,38,5,16,5,3,3,5,,
55,39,17,42,4,60,5,3,8,4,,
56,25,17,45,4,81,5,2,8,7,,
57,46,6,49,4,51,7,10,6,9,,
58,49,2,47,6,73,9,2,3,4,,
59,35,7,53,4,24,6,3,3,7,,
60,39,11,38,6,38,7,5,9,7,,
61,47,7,46,7,42,8,9,10,8,,
62,30,17,43,8,36,7,10,7,3,,
63,47,6,53,3,45,5,8,6,8,,
64,42,19,38,9,38,6,8,7,9,,
65,23,10,38,7,47,6,6,7,3,,
66,41,17,39,4,66,6,3,5,4,,
67,49,5,31,9,36,6,10,3,10,,
68,36,9,39,9,64,8,8,9,3,,
69,49,14,38,3,42,6,7,5,9,,
70,28,4,43,5,77,6,8,9,6,,
71,33,4,44,9,75,7,8,4,4,,
72,29,19,51,8,19,6,7,2,9,,
73,36,15,47,4,14,8,10,3,6,,
74,24,2,39,5,83,7,9,6,6,,
75,35,9,38,6,47,6,7,10,5,,
76,38,9,45,6,22,8,8,3,7,,
77,25,15,35,7,40,7,2,9,3,,
78,39,6,51,6,56,7,7,6,5,,
79,29,5,48,6,61,6,2,9,10,,
80,25,3,40,8,65,7,7,4,4,,
81,23,9,33,3,24,8,10,9,7,,
82,27,14,49,5,38,5,6,8,5,,
83,43,2,41,8,17,6,6,4,8,,
84,31,18,48,9,14,4,5,3,3,,
85,25,9,34,7,38,8,3,9,10,,
86,43,6,39,7,56,5,8,10,6,,
87,39,3,42,4,77,9,4,2,4,,
88,47,5,42,6,85,7,3,8,3,,
89,33,19,40,7,54,8,5,9,3,,
90,23,13,45,5,11,9,8,9,6,,
91,31,11,37,5,36,8,8,10,5,,
92,25,14,41,6,45,8,2,8,9,,
93,35,9,43,3,45,6,6,6,5,,
94,37,15,45,5,35,7,6,5,4,,
95,36,2,46,5,52,5,7,5,7,,
96,29,12,36,5,36,5,7,8,8,,
97,35,4,34,4,78,7,5,8,3,,
98,44,3,48,9,29,7,7,4,3,,
99,49,8,44,7,20,6,6,9,2,,
100,46,3,38,8,83,7,9,8,8,,
