ID,Country,Year,Attack Type,Target Industry,Financial Loss ($M),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Used,Resolution Time (Hr)
CBS-43,UK,2019,Man-in-the-Middle,Retail,39.8,757694,Nation-state,Unpatched Software,Encryption,69
CBS-44,USA,2017,DDoS,IT,74.1,403108,Hacker Group,Zero-day,VPN,64
CBS-45,Australia,2020,DDoS,Banking,93.0,942890,Insider,Weak Passwords,Antivirus,19
CBS-46,France,2022,Malware,Healthcare,20.3,794906,Unknown,Weak Passwords,AI-based Detection,36
CBS-47,Australia,2016,SQL Injection,Government,27.3,481293,Hacker Group,Unpatched Software,Antivirus,65
CBS-48,India,2016,DDoS,Education,21.0,602692,Hacker Group,Unpatched Software,VPN,29
CBS-49,UK,2018,Man-in-the-Middle,Retail,13.7,455529,Hacker Group,Zero-day,Firewall,40
CBS-50,Japan,2017,Phishing,Telecommunications,75.8,383395,Hacker Group,Zero-day,VPN,31
CBS-51,USA,2023,DDoS,Retail,59.7,113612,Hacker Group,Zero-day,VPN,70
CBS-52,Australia,2019,Malware,Government,21.7,984411,Insider,Unpatched Software,Antivirus,17
CBS-53,UK,2015,Phishing,IT,85.6,17229,Hacker Group,Weak Passwords,AI-based Detection,30
CBS-54,France,2018,Phishing,Healthcare,75.1,581303,Insider,Social Engineering,Encryption,51
CBS-55,India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23
CBS-56,India,2020,DDoS,Banking,86.3,898655,Nation-state,Unpatched Software,AI-based Detection,10
CBS-57,UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57
CBS-58,India,2018,DDoS,Healthcare,76.4,304162,Hacker Group,Unpatched Software,Firewall,56
CBS-59,Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65
CBS-60,Australia,2024,Phishing,Education,93.3,93185,Unknown,Unpatched Software,VPN,14
CBS-61,India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24
CBS-62,China,2015,Phishing,Government,42.7,310574,Nation-state,Zero-day,Firewall,65
CBS-63,India,2024,DDoS,Education,73.4,475719,Nation-state,Social Engineering,Firewall,52
CBS-64,UK,2018,Malware,Retail,73.2,404060,Unknown,Weak Passwords,Antivirus,32
CBS-65,China,2024,Malware,Education,72.4,132726,Hacker Group,Zero-day,Firewall,55
CBS-66,UK,2016,DDoS,Banking,87.7,336376,Nation-state,Social Engineering,Firewall,11
CBS-67,Australia,2022,Malware,Healthcare,67.2,566437,Unknown,Weak Passwords,Encryption,63
CBS-68,Russia,2017,Man-in-the-Middle,Education,83.4,313631,Nation-state,Weak Passwords,Antivirus,16
CBS-69,France,2016,DDoS,Banking,28.7,996004,Unknown,Zero-day,VPN,28
CBS-70,China,2021,Phishing,Healthcare,55.0,871600,Insider,Unpatched Software,Firewall,29
CBS-71,Brazil,2015,DDoS,IT,43.5,940656,Unknown,Weak Passwords,AI-based Detection,41
CBS-72,USA,2015,Ransomware,Telecommunications,20.7,297209,Nation-state,Social Engineering,Firewall,66
CBS-73,UK,2019,Phishing,IT,78.2,28321,Insider,Unpatched Software,Antivirus,63
CBS-74,Brazil,2022,Phishing,Telecommunications,29.0,456783,Nation-state,Zero-day,Encryption,10
CBS-75,Germany,2018,Ransomware,Banking,87.6,933028,Nation-state,Unpatched Software,VPN,25
CBS-76,Australia,2023,Phishing,Telecommunications,24.7,221512,Nation-state,Zero-day,AI-based Detection,56
CBS-77,France,2017,Phishing,Banking,17.9,16585,Hacker Group,Unpatched Software,Encryption,12
CBS-78,USA,2022,Ransomware,Education,21.0,787752,Nation-state,Weak Passwords,Antivirus,9
CBS-79,Russia,2022,SQL Injection,Banking,60.3,662517,Unknown,Social Engineering,Firewall,40
CBS-80,Brazil,2018,Malware,Education,6.6,274509,Hacker Group,Zero-day,Encryption,20
CBS-81,France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66
CBS-82,Brazil,2021,DDoS,IT,70.3,740257,Unknown,Weak Passwords,Encryption,70
CBS-83,Australia,2024,Malware,Healthcare,62.1,969504,Hacker Group,Social Engineering,AI-based Detection,5
CBS-84,Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54
CBS-85,Japan,2019,Malware,Banking,44.2,605166,Insider,Weak Passwords,Encryption,27
CBS-86,France,2023,Malware,Government,55.2,274946,Insider,Zero-day,Encryption,66
CBS-87,Japan,2019,Man-in-the-Middle,Banking,41.3,645097,Nation-state,Zero-day,Firewall,36
CBS-88,UK,2015,DDoS,Telecommunications,32.9,157678,Nation-state,Unpatched Software,Antivirus,68
CBS-89,Brazil,2022,DDoS,Retail,15.2,157034,Nation-state,Social Engineering,AI-based Detection,69
CBS-90,India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4
CBS-91,Australia,2017,SQL Injection,Healthcare,68.9,634048,Hacker Group,Unpatched Software,Firewall,66
CBS-92,UK,2023,DDoS,Banking,81.3,547495,Nation-state,Weak Passwords,AI-based Detection,3
CBS-93,UK,2024,DDoS,Healthcare,58.3,487694,Hacker Group,Weak Passwords,Antivirus,41
CBS-94,France,2023,Man-in-the-Middle,Retail,88.7,427067,Hacker Group,Unpatched Software,Antivirus,42
CBS-95,Australia,2023,Malware,Telecommunications,1.5,954902,Hacker Group,Unpatched Software,AI-based Detection,55
CBS-96,UK,2020,Ransomware,Banking,49.2,128594,Nation-state,Weak Passwords,Firewall,53
CBS-97,Germany,2024,Phishing,Healthcare,84.5,189430,Nation-state,Social Engineering,Firewall,1
CBS-98,France,2021,DDoS,Healthcare,90.6,603327,Nation-state,Unpatched Software,AI-based Detection,15
CBS-99,UK,2021,DDoS,Education,80.3,276593,Nation-state,Social Engineering,Encryption,36
CBS-100,Japan,2023,Malware,Education,22.9,975282,Insider,Unpatched Software,Firewall,49
CBS-101,India,2018,Ransomware,Retail,23.8,486810,Hacker Group,Unpatched Software,Antivirus,11
CBS-102,Japan,2021,Ransomware,IT,35.4,969517,Hacker Group,Weak Passwords,Firewall,25
CBS-103,Australia,2022,Malware,Banking,74.8,151599,Insider,Zero-day,Encryption,18
CBS-104,Japan,2022,SQL Injection,IT,66.7,749545,Unknown,Social Engineering,AI-based Detection,30
CBS-105,Brazil,2015,Malware,Retail,78.1,71743,Hacker Group,Unpatched Software,VPN,35
CBS-106,Germany,2018,Phishing,Banking,11.4,969684,Hacker Group,Weak Passwords,Antivirus,41
CBS-107,Germany,2020,SQL Injection,Education,87.8,842506,Unknown,Weak Passwords,Antivirus,19
CBS-108,Brazil,2023,Man-in-the-Middle,IT,10.2,933883,Nation-state,Social Engineering,Encryption,41
CBS-109,UK,2019,Malware,Education,4.4,393748,Nation-state,Unpatched Software,AI-based Detection,10
CBS-110,Brazil,2020,DDoS,Banking,77.0,708549,Unknown,Weak Passwords,Encryption,37
CBS-111,Japan,2020,DDoS,Healthcare,73.2,136762,Unknown,Zero-day,VPN,41
CBS-112,Russia,2018,Malware,Telecommunications,8.1,737958,Unknown,Social Engineering,VPN,35
CBS-113,Japan,2020,Man-in-the-Middle,Banking,23.6,108886,Insider,Unpatched Software,Antivirus,51
CBS-114,Australia,2016,Phishing,Banking,92.8,285311,Nation-state,Unpatched Software,VPN,55
CBS-115,USA,2021,Malware,Retail,71.1,961868,Hacker Group,Unpatched Software,Antivirus,57
CBS-116,Australia,2023,Man-in-the-Middle,Banking,57.3,471743,Unknown,Zero-day,Firewall,29
CBS-117,UK,2024,Phishing,Government,81.3,993903,Unknown,Weak Passwords,Firewall,25
CBS-118,China,2024,Ransomware,Telecommunications,7.3,179156,Nation-state,Social Engineering,AI-based Detection,34
CBS-119,Germany,2022,Man-in-the-Middle,Healthcare,56.3,699129,Nation-state,Unpatched Software,Encryption,25
CBS-120,Russia,2021,Malware,IT,83.8,920983,Insider,Social Engineering,Encryption,24
CBS-121,UK,2023,SQL Injection,Banking,85.6,875790,Nation-state,Unpatched Software,Firewall,36
CBS-122,Russia,2016,Malware,Retail,61.4,415274,Hacker Group,Weak Passwords,Encryption,40
CBS-123,Russia,2023,Ransomware,Banking,42.1,222293,Hacker Group,Social Engineering,VPN,38
CBS-124,France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71
CBS-125,Australia,2021,Malware,Telecommunications,84.7,708291,Hacker Group,Zero-day,AI-based Detection,54
CBS-126,Russia,2024,Malware,Banking,93.3,517610,Nation-state,Social Engineering,Firewall,35
CBS-127,Germany,2023,Malware,Government,70.5,368803,Hacker Group,Unpatched Software,VPN,23
CBS-128,China,2023,Man-in-the-Middle,Healthcare,48.7,421191,Nation-state,Unpatched Software,Firewall,62
CBS-129,India,2018,Phishing,IT,69.0,282139,Hacker Group,Unpatched Software,Encryption,37
CBS-130,China,2018,Malware,IT,49.2,117543,Insider,Social Engineering,Encryption,22
CBS-131,France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62
CBS-132,France,2023,Ransomware,Retail,64.1,238068,Unknown,Unpatched Software,VPN,61
CBS-133,Japan,2022,Malware,Telecommunications,38.5,39814,Insider,Social Engineering,VPN,32
CBS-134,India,2018,DDoS,Government,80.9,268956,Nation-state,Zero-day,Antivirus,47
CBS-135,France,2015,Malware,Education,15.8,424,Nation-state,Unpatched Software,Antivirus,58
CBS-136,USA,2021,SQL Injection,Telecommunications,82.2,982969,Unknown,Unpatched Software,Encryption,64
CBS-137,Germany,2021,Malware,Government,82.7,219703,Nation-state,Social Engineering,Firewall,33
CBS-138,Japan,2016,Man-in-the-Middle,Retail,19.0,530947,Nation-state,Unpatched Software,VPN,12
CBS-139,UK,2017,SQL Injection,IT,53.4,576110,Insider,Unpatched Software,Antivirus,37
CBS-140,UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68
CBS-141,France,2017,SQL Injection,Healthcare,60.8,212177,Hacker Group,Social Engineering,Encryption,2
CBS-142,Germany,2021,DDoS,Banking,91.2,8787,Hacker Group,Unpatched Software,Encryption,55
CBS-143,USA,2015,Phishing,Education,41.4,291727,Insider,Social Engineering,Encryption,31
CBS-144,Germany,2022,DDoS,IT,78.2,987652,Hacker Group,Social Engineering,VPN,72
CBS-145,China,2022,Ransomware,Telecommunications,16.2,236284,Unknown,Social Engineering,Antivirus,38
CBS-146,USA,2020,Man-in-the-Middle,Telecommunications,15.6,209853,Nation-state,Zero-day,VPN,1
CBS-147,Australia,2020,DDoS,Retail,36.3,755621,Unknown,Zero-day,Antivirus,50
CBS-148,France,2015,SQL Injection,Retail,61.4,694844,Insider,Unpatched Software,Antivirus,43
CBS-149,France,2018,SQL Injection,Retail,53.7,795831,Nation-state,Unpatched Software,Encryption,61
CBS-150,Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22
CBS-151,USA,2016,Phishing,Retail,75.9,638693,Nation-state,Weak Passwords,AI-based Detection,35
CBS-152,USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51
CBS-153,Brazil,2023,SQL Injection,Retail,56.8,774426,Hacker Group,Social Engineering,AI-based Detection,21
CBS-154,Australia,2023,DDoS,Government,76.3,900661,Insider,Unpatched Software,Encryption,64
CBS-155,India,2019,Phishing,Telecommunications,75.2,141627,Insider,Unpatched Software,AI-based Detection,64
CBS-156,Germany,2024,Phishing,IT,3.9,845785,Unknown,Unpatched Software,VPN,69
CBS-157,Australia,2015,Malware,Retail,99.4,120048,Insider,Zero-day,Antivirus,12
CBS-158,USA,2016,Malware,Retail,32.9,894935,Unknown,Social Engineering,AI-based Detection,31
CBS-159,Japan,2017,SQL Injection,Healthcare,21.7,277555,Unknown,Social Engineering,AI-based Detection,45
CBS-160,Australia,2024,Ransomware,Education,85.9,461012,Insider,Unpatched Software,AI-based Detection,38
CBS-161,Russia,2021,SQL Injection,Telecommunications,80.2,599291,Nation-state,Social Engineering,Firewall,55
CBS-162,Australia,2016,Man-in-the-Middle,Government,31.9,163602,Hacker Group,Unpatched Software,VPN,26
CBS-163,UK,2021,SQL Injection,Government,39.0,986196,Nation-state,Weak Passwords,Encryption,11
CBS-164,France,2024,Ransomware,Retail,99.0,349008,Nation-state,Zero-day,Encryption,20
CBS-165,Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69
CBS-166,Russia,2018,DDoS,Healthcare,67.3,335628,Hacker Group,Weak Passwords,Antivirus,20
CBS-167,Germany,2016,Ransomware,Education,29.9,385363,Unknown,Unpatched Software,Firewall,22
CBS-168,USA,2021,Man-in-the-Middle,Education,15.9,945793,Insider,Zero-day,Firewall,32
CBS-169,Russia,2016,SQL Injection,Telecommunications,95.9,595950,Nation-state,Social Engineering,AI-based Detection,11
CBS-170,Japan,2022,DDoS,Education,12.6,756722,Nation-state,Weak Passwords,VPN,15
CBS-171,Australia,2024,Ransomware,Government,39.9,594424,Hacker Group,Social Engineering,Antivirus,54
CBS-172,China,2015,Malware,Retail,19.4,457790,Hacker Group,Zero-day,Encryption,39
CBS-173,China,2024,Ransomware,Telecommunications,70.5,549337,Unknown,Social Engineering,Antivirus,63
CBS-174,France,2023,Malware,Healthcare,53.3,714681,Unknown,Unpatched Software,Firewall,34
CBS-175,India,2022,Malware,Government,84.2,849745,Hacker Group,Social Engineering,Antivirus,51
CBS-176,Brazil,2019,SQL Injection,Banking,27.6,826256,Nation-state,Zero-day,VPN,50
CBS-177,UK,2017,DDoS,IT,9.0,617543,Unknown,Zero-day,Antivirus,43
CBS-178,USA,2017,SQL Injection,Banking,9.1,895507,Unknown,Social Engineering,AI-based Detection,52
CBS-179,UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45
CBS-180,Japan,2022,Phishing,Government,71.1,76776,Unknown,Unpatched Software,Firewall,42
CBS-181,China,2019,Ransomware,Retail,6.1,175261,Nation-state,Zero-day,VPN,64
CBS-182,Australia,2016,Man-in-the-Middle,Healthcare,90.9,746369,Insider,Unpatched Software,Antivirus,30
CBS-183,Australia,2017,Malware,Healthcare,77.3,563706,Nation-state,Unpatched Software,AI-based Detection,35
CBS-184,India,2022,DDoS,Healthcare,12.0,254980,Insider,Unpatched Software,AI-based Detection,58
CBS-185,Russia,2021,Malware,Education,0.5,869574,Unknown,Unpatched Software,Antivirus,16
CBS-186,Russia,2015,Malware,IT,95.3,282598,Unknown,Zero-day,VPN,21
CBS-187,Brazil,2023,Malware,Telecommunications,62.8,422623,Nation-state,Zero-day,AI-based Detection,55
CBS-188,Brazil,2021,Malware,Healthcare,83.1,937717,Unknown,Unpatched Software,Encryption,56
CBS-189,India,2021,Man-in-the-Middle,Telecommunications,71.6,416077,Insider,Social Engineering,VPN,39
CBS-190,Australia,2019,Man-in-the-Middle,Banking,47.7,112313,Insider,Social Engineering,Firewall,63
CBS-191,Australia,2017,Man-in-the-Middle,Telecommunications,79.7,799971,Insider,Zero-day,Firewall,63
CBS-192,Japan,2018,Man-in-the-Middle,Retail,47.1,690595,Hacker Group,Social Engineering,Antivirus,71
CBS-193,India,2017,Man-in-the-Middle,Government,69.7,713419,Hacker Group,Unpatched Software,AI-based Detection,70
CBS-194,Australia,2022,Man-in-the-Middle,Healthcare,81.3,707365,Hacker Group,Zero-day,Antivirus,38
CBS-195,Brazil,2016,Malware,Healthcare,83.9,155059,Unknown,Unpatched Software,Antivirus,29
CBS-196,Russia,2022,Phishing,Banking,85.0,923558,Insider,Weak Passwords,Encryption,41
CBS-197,Germany,2022,DDoS,Telecommunications,20.6,239313,Nation-state,Social Engineering,AI-based Detection,6
CBS-198,Russia,2023,Ransomware,Telecommunications,60.1,874485,Hacker Group,Weak Passwords,Antivirus,48
CBS-199,Russia,2016,SQL Injection,Healthcare,47.0,90895,Unknown,Social Engineering,VPN,29
CBS-200,China,2015,Man-in-the-Middle,Retail,47.2,529593,Hacker Group,Zero-day,VPN,64
CBS-201,Germany,2018,Phishing,Government,46.9,610201,Nation-state,Weak Passwords,VPN,72
CBS-202,USA,2021,DDoS,Telecommunications,2.0,863623,Hacker Group,Weak Passwords,Firewall,24
CBS-203,USA,2018,Malware,Healthcare,14.3,755771,Insider,Weak Passwords,Antivirus,44
CBS-204,Japan,2021,SQL Injection,Telecommunications,66.2,164032,Unknown,Social Engineering,Firewall,5
CBS-205,Russia,2019,Man-in-the-Middle,Telecommunications,95.7,259993,Nation-state,Weak Passwords,Antivirus,58
CBS-206,UK,2019,Phishing,Retail,90.1,232359,Unknown,Social Engineering,Firewall,17
CBS-207,Germany,2018,Phishing,Telecommunications,84.9,800031,Unknown,Unpatched Software,Encryption,10
CBS-208,UK,2016,Phishing,Healthcare,71.2,925040,Unknown,Unpatched Software,Encryption,48
CBS-209,Brazil,2016,Malware,IT,99.3,273469,Insider,Social Engineering,AI-based Detection,67
CBS-210,Germany,2024,Malware,Banking,22.8,797768,Insider,Zero-day,Firewall,58
CBS-211,Japan,2022,DDoS,Education,82.2,905203,Hacker Group,Weak Passwords,Antivirus,37
CBS-212,India,2023,Phishing,Telecommunications,11.7,512291,Insider,Zero-day,AI-based Detection,51
CBS-213,UK,2017,Phishing,Telecommunications,27.1,416833,Insider,Social Engineering,VPN,9
CBS-214,UK,2015,Ransomware,Government,30.7,744505,Nation-state,Unpatched Software,Antivirus,43
CBS-215,Brazil,2020,Malware,Banking,79.6,755029,Nation-state,Weak Passwords,Firewall,27
CBS-216,Brazil,2017,Malware,Banking,99.2,660182,Insider,Weak Passwords,AI-based Detection,21
CBS-217,India,2016,Ransomware,Retail,29.5,403737,Insider,Zero-day,Firewall,26
CBS-218,China,2019,DDoS,Retail,7.9,86783,Nation-state,Weak Passwords,Antivirus,12
CBS-219,Australia,2022,DDoS,Telecommunications,86.8,390083,Nation-state,Social Engineering,VPN,72
CBS-220,Brazil,2023,Man-in-the-Middle,Banking,20.2,376174,Unknown,Social Engineering,Firewall,43
CBS-221,UK,2022,Ransomware,Government,31.9,485080,Insider,Weak Passwords,Antivirus,61
CBS-222,France,2024,Ransomware,Banking,78.8,759804,Unknown,Unpatched Software,AI-based Detection,47
CBS-223,Japan,2017,Phishing,IT,65.6,286208,Hacker Group,Zero-day,Firewall,57
CBS-224,USA,2017,Malware,IT,75.5,992377,Nation-state,Unpatched Software,Antivirus,33
CBS-225,USA,2021,Man-in-the-Middle,Education,36.1,48987,Unknown,Zero-day,VPN,58
CBS-226,Russia,2021,SQL Injection,Telecommunications,68.1,538602,Insider,Unpatched Software,VPN,19
CBS-227,Japan,2015,Malware,Healthcare,26.3,808392,Hacker Group,Weak Passwords,AI-based Detection,4
CBS-228,UK,2015,Ransomware,IT,26.1,21580,Unknown,Weak Passwords,AI-based Detection,14
CBS-229,France,2020,Phishing,Government,94.4,209658,Insider,Zero-day,VPN,11
CBS-230,Japan,2017,Man-in-the-Middle,Retail,74.1,559889,Nation-state,Zero-day,VPN,10
CBS-231,France,2015,SQL Injection,Government,12.9,344516,Insider,Zero-day,VPN,28
CBS-232,Australia,2024,Phishing,Retail,73.4,897569,Hacker Group,Social Engineering,AI-based Detection,66
CBS-233,Australia,2023,SQL Injection,Healthcare,99.2,538688,Nation-state,Zero-day,Encryption,36
CBS-234,China,2015,DDoS,Government,22.7,303975,Nation-state,Social Engineering,Firewall,2
CBS-235,Japan,2022,SQL Injection,Telecommunications,67.6,822256,Insider,Unpatched Software,Firewall,60
CBS-236,Russia,2019,Man-in-the-Middle,Healthcare,53.8,521877,Unknown,Zero-day,Encryption,66
CBS-237,Brazil,2016,SQL Injection,Education,55.8,758258,Unknown,Zero-day,Encryption,44
CBS-238,Brazil,2016,DDoS,IT,17.1,988369,Hacker Group,Weak Passwords,AI-based Detection,26
CBS-239,France,2022,Malware,Healthcare,67.9,325521,Hacker Group,Social Engineering,VPN,69
CBS-240,Germany,2021,Ransomware,IT,5.5,254933,Nation-state,Social Engineering,AI-based Detection,41
CBS-241,UK,2023,DDoS,Government,55.3,339144,Hacker Group,Unpatched Software,VPN,26
CBS-242,India,2022,Ransomware,Education,57.5,170002,Unknown,Unpatched Software,AI-based Detection,54
CBS-243,Japan,2019,DDoS,Government,74.7,491269,Nation-state,Zero-day,Firewall,67
CBS-244,China,2019,Phishing,Banking,49.1,341100,Insider,Social Engineering,Firewall,37
CBS-245,India,2018,DDoS,Government,36.0,446170,Insider,Unpatched Software,VPN,72
CBS-246,India,2015,Malware,Telecommunications,14.1,28398,Insider,Zero-day,Encryption,22
CBS-247,France,2017,Ransomware,Telecommunications,66.4,180698,Hacker Group,Zero-day,Encryption,53
CBS-248,Germany,2017,Malware,Healthcare,8.5,676384,Unknown,Social Engineering,VPN,44
CBS-249,Brazil,2015,Ransomware,Healthcare,61.9,961557,Insider,Unpatched Software,Firewall,64
CBS-250,Japan,2020,Phishing,Education,54.5,345334,Hacker Group,Weak Passwords,Antivirus,25
CBS-251,Russia,2024,Phishing,Education,87.9,263407,Nation-state,Zero-day,Antivirus,8
CBS-252,Russia,2017,Phishing,IT,89.2,791350,Nation-state,Social Engineering,Antivirus,32
CBS-253,China,2022,Ransomware,Telecommunications,64.9,591819,Unknown,Zero-day,Antivirus,49
CBS-254,UK,2016,SQL Injection,IT,6.6,186612,Unknown,Unpatched Software,Antivirus,30
CBS-255,Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26
CBS-256,France,2015,SQL Injection,IT,87.8,6456,Hacker Group,Social Engineering,Firewall,69
CBS-257,Japan,2020,Malware,Banking,15.7,762662,Hacker Group,Zero-day,Firewall,56
CBS-258,UK,2015,Phishing,IT,30.3,256396,Hacker Group,Zero-day,Encryption,29
CBS-259,Brazil,2021,SQL Injection,Healthcare,54.6,437634,Unknown,Weak Passwords,AI-based Detection,29
CBS-260,Russia,2015,Malware,Healthcare,63.1,80855,Nation-state,Zero-day,AI-based Detection,53
CBS-261,India,2016,Phishing,Retail,59.4,967614,Nation-state,Unpatched Software,AI-based Detection,71
CBS-262,Japan,2020,Ransomware,IT,79.5,934400,Unknown,Social Engineering,VPN,4
CBS-263,Germany,2023,Man-in-the-Middle,Telecommunications,87.8,547719,Unknown,Weak Passwords,AI-based Detection,22
CBS-264,China,2016,Malware,Healthcare,96.6,808984,Unknown,Weak Passwords,Firewall,26
CBS-265,Japan,2023,Ransomware,Banking,52.9,261038,Nation-state,Social Engineering,Encryption,48
CBS-266,China,2024,Phishing,Education,4.0,841054,Insider,Zero-day,Antivirus,49
CBS-267,China,2019,Ransomware,IT,68.0,175038,Hacker Group,Weak Passwords,VPN,67
CBS-268,Russia,2022,Phishing,Retail,67.2,774613,Hacker Group,Weak Passwords,Encryption,53
CBS-269,Japan,2021,Phishing,Healthcare,37.5,558357,Hacker Group,Weak Passwords,VPN,49
CBS-270,India,2017,Phishing,Retail,36.8,620056,Nation-state,Weak Passwords,Firewall,14
CBS-271,Russia,2018,Malware,Healthcare,40.7,90640,Unknown,Social Engineering,Encryption,56
CBS-272,Russia,2022,Ransomware,Retail,76.9,449596,Unknown,Unpatched Software,AI-based Detection,3
CBS-273,Australia,2020,Ransomware,Healthcare,58.9,207842,Nation-state,Social Engineering,Antivirus,40
CBS-274,Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53
CBS-275,Japan,2017,Phishing,Healthcare,47.4,470895,Nation-state,Social Engineering,Encryption,63
