ID,Company Name,Job Title,Level,Location,City,State,Company Size (By Category),Company Size,Min Company Size,Max Company Size,Industry,Rating,Salary Estimate,Min Salary,Max Salary,Avg Salary
29,Sofi,Data Science Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,3.2,$46K-$87K,46000,87000,66500
30,Bank Of America,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.7,$46K-$87K,46000,87000,66500
31,Nutech Information Systems,Technical Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,3.6,$46K-$87K,46000,87000,66500
32,Nyu Langone Health,Data Science Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,4.0,$46K-$87K,46000,87000,66500
33,The Trevor Project,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Social Services,4.6,$46K-$87K,46000,87000,66500
34,Two95 International Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,4.0,$46K-$87K,46000,87000,66500
35,Vettery,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,3.0,$46K-$87K,46000,87000,66500
36,"Nesco Resource, Llc",Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Professional Services,2.9,$46K-$87K,46000,87000,66500
37,Hearst Communications,Technical Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Media/Advertising,4.0,$46K-$87K,46000,87000,66500
38,Mediamath,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Media/Advertising,3.6,$46K-$87K,46000,87000,66500
39,Jordan & Jordan,Data Reporting Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Financial,4.9,$46K-$87K,46000,87000,66500
40,Roku,Senior Data Analyst,Senior,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.9,$46K-$87K,46000,87000,66500
41,Walt Disney Co.,Data Analyst,Senior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Media/Advertising,4.0,$46K-$87K,46000,87000,66500
42,Xoriant Corporation,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Large,1001–5000,1001,5000,Technology,3.7,$46K-$87K,46000,87000,66500
43,Gemini,Senior Data Analyst,Senior,"New York, NY",New York,NY,Small,51–200,51,200,Financial,3.6,$46K-$87K,46000,87000,66500
44,"Tsr, Inc.",Data Science Analyst,Mid,"Weehawken, NJ",Weehawken,NJ,Medium,201–500,201,500,Professional Services,3.6,$46K-$87K,46000,87000,66500
45,Walt Disney Co.,Data Analyst,Senior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Media/Advertising,4.0,$46K-$87K,46000,87000,66500
46,Fragomen Worldwide,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Professional Services,3.2,$46K-$87K,46000,87000,66500
47,Bloomberg,Data Governance Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Technology,3.8,$46K-$87K,46000,87000,66500
48,Real Capital Analytics,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Real Estate,3.9,$46K-$87K,46000,87000,66500
49,Ro,Financial Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Healthcare,4.8,$51K-$88K,51000,88000,69500
50,Perficient,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.6,$51K-$88K,51000,88000,69500
51,Perficient,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.6,$51K-$88K,51000,88000,69500
52,Perficient,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.6,$51K-$88K,51000,88000,69500
53,Kforce,Junior Data Analyst,Junior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Professional Services,4.1,$51K-$88K,51000,88000,69500
54,Criteo,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.9,$51K-$88K,51000,88000,69500
55,Royal Communications,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,3.0,$51K-$88K,51000,88000,69500
56,Neuberger Berman,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,3.7,$51K-$88K,51000,88000,69500
57,Diverse Lynx,Data Reporting Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Technology,3.9,$51K-$88K,51000,88000,69500
58,Eteam Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Professional Services,3.7,$51K-$88K,51000,88000,69500
59,Impakt Advisors,Junior Data Analyst,Junior,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,-1.0,$51K-$88K,51000,88000,69500
60,Citi,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.7,$51K-$88K,51000,88000,69500
61,Axelon Services Corporation,Business Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Professional Services,3.6,$51K-$88K,51000,88000,69500
62,United Nations,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Government,4.1,$51K-$88K,51000,88000,69500
63,"Discovery Communications, Inc.",Data Science Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Media/Advertising,3.5,$51K-$88K,51000,88000,69500
64,Randstad,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Large,1001–5000,1001,5000,Professional Services,3.7,$51K-$88K,51000,88000,69500
65,Two95 International Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,4.0,$51K-$88K,51000,88000,69500
66,"Edo, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,5.0,$51K-$88K,51000,88000,69500
67,Guidepoint,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Research,3.3,$51K-$88K,51000,88000,69500
68,Mitchell Martin,Business Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Professional Services,4.1,$51K-$88K,51000,88000,69500
69,Lorven Technologies Inc,Technical Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,4.0,$51K-$88K,51000,88000,69500
70,Sphinix Network Solutions Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,1.0,$51K-$88K,51000,88000,69500
71,Praescient Analytics,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Professional Services,3.1,$51K-$88K,51000,88000,69500
72,Global Atlantic Financial Group,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,4.5,$51K-$88K,51000,88000,69500
73,Finra,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,3.4,$51K-$88K,51000,88000,69500
74,Jefferies,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,3.6,$51K-$87K,51000,87000,69000
75,Rgp,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Professional Services,4.1,$51K-$87K,51000,87000,69000
76,Tachyon Technologies,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,4.4,$51K-$87K,51000,87000,69000
77,Apex Systems,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Large,1001–5000,1001,5000,Professional Services,3.8,$51K-$87K,51000,87000,69000
78,Hagerty Consulting,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,3.2,$51K-$87K,51000,87000,69000
79,Gainful Health,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Retail,-1.0,$51K-$87K,51000,87000,69000
80,Cortex Consultants Llc,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Professional Services,3.8,$51K-$87K,51000,87000,69000
81,Medly Pharmacy,Data Analyst,Mid,"Brooklyn, NY",Brooklyn,NY,Medium,201–500,201,500,Healthcare,4.7,$51K-$87K,51000,87000,69000
82,Peloton Interactive,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Healthcare,3.8,$51K-$87K,51000,87000,69000
83,Ektello,Technical Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,4.6,$51K-$87K,51000,87000,69000
84,"Premier, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Healthcare,3.0,$51K-$87K,51000,87000,69000
85,Jpmorgan Chase,Operations/Supply Chain Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.9,$51K-$87K,51000,87000,69000
86,Fund For Public Health,Data Analyst,Mid,"Long Island City, NY",Long Island City,NY,Medium,201–500,201,500,Social Services,3.0,$51K-$87K,51000,87000,69000
87,Crossfire Consulting Corporation,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Professional Services,5.0,$51K-$87K,51000,87000,69000
88,Reliable Software Resources,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Technology,4.0,$51K-$87K,51000,87000,69000
89,My Job Tank,Junior Data Analyst,Junior,"Jersey City, NJ",Jersey City,NJ,Small,51–200,51,200,Technology,3.6,$51K-$87K,51000,87000,69000
90,Cowen,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Financial,3.7,$51K-$87K,51000,87000,69000
91,Robert Half,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Professional Services,3.5,$51K-$87K,51000,87000,69000
92,Fja-Us Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,2.8,$51K-$87K,51000,87000,69000
93,Averity,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,5.0,$51K-$87K,51000,87000,69000
94,Capgemini,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Enterprise,10000+,10000,10000,Technology,3.8,$51K-$87K,51000,87000,69000
95,Wildlife Conservation Society,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Social Services,3.4,$51K-$87K,51000,87000,69000
96,Asembia,Data Analyst,Mid,"Florham Park, NJ",Florham Park,NJ,Medium,501–1000,501,1000,Healthcare,3.6,$51K-$87K,51000,87000,69000
97,Vesta Healthcare,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Healthcare,-1.0,$51K-$87K,51000,87000,69000
98,Seiu Funds,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Financial,3.2,$51K-$87K,51000,87000,69000
99,Nutrafol,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Healthcare,3.8,$59K-$85K,59000,85000,72000
100,New York Life Insurance Co,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.5,$59K-$85K,59000,85000,72000
101,"Edp World, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,3.5,$59K-$85K,59000,85000,72000
102,"Staffigo Technical Services, Llc",Junior Data Analyst,Junior,"New York, NY",New York,NY,Small,51–200,51,200,Technology,5.0,$59K-$85K,59000,85000,72000
103,Ibm,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Technology,3.7,$59K-$85K,59000,85000,72000
104,Northwell Health,Data Analyst,Mid,"Manhasset, NY",Manhasset,NY,Enterprise,10000+,10000,10000,Healthcare,4.0,$59K-$85K,59000,85000,72000
105,Huxley,Data Science Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Professional Services,3.3,$59K-$85K,59000,85000,72000
106,Vericred,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,2.9,$59K-$85K,59000,85000,72000
107,Scotiabank,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.6,$59K-$85K,59000,85000,72000
108,Child Mind Institute,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Healthcare,3.2,$59K-$85K,59000,85000,72000
109,Balance Innovations,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,3.1,$59K-$85K,59000,85000,72000
110,Asset Staffing,Data Analyst,Mid,"Newark, NJ",Newark,NJ,Medium,201–500,201,500,Professional Services,3.4,$59K-$85K,59000,85000,72000
111,Reliable Software Resources,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Technology,4.0,$59K-$85K,59000,85000,72000
112,"Hearst Television, Inc",Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Media/Advertising,4.3,$59K-$85K,59000,85000,72000
113,William Hill Us,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Enterprise,10000+,10000,10000,Other Industries,2.7,$59K-$85K,59000,85000,72000
114,Rockstar Games,Senior Data Analyst,Senior,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,4.1,$59K-$85K,59000,85000,72000
115,Decision Resources Group,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.1,$59K-$85K,59000,85000,72000
116,"Ntt Data, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Professional Services,2.9,$59K-$85K,59000,85000,72000
117,Columbia University,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Education,3.9,$59K-$85K,59000,85000,72000
118,Precision Technologies Corp,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,4.2,$59K-$85K,59000,85000,72000
119,Cactus Holdings,Data Analyst,Mid,"Queens Village, NY",Queens Village,NY,Large,1001–5000,1001,5000,Research,3.9,$59K-$85K,59000,85000,72000
120,Cuny Research Foundation,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Education,4.2,$59K-$85K,59000,85000,72000
121,Sga Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,-1.0,$59K-$85K,59000,85000,72000
122,Crossfire Consulting Corporation,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Professional Services,5.0,$59K-$85K,59000,85000,72000
123,Amazon,Data Analyst,Senior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Technology,3.9,$59K-$85K,59000,85000,72000
124,"Ntt Data, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Professional Services,2.9,$59K-$85K,59000,85000,72000
125,Nyu Langone Health,Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,4.0,$43K-$76K,43000,76000,59500
126,Hometeam,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Healthcare,3.6,$43K-$76K,43000,76000,59500
127,Mount Sinai Health System,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,3.4,$43K-$76K,43000,76000,59500
128,"Halcyon Solutions, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,3.3,$43K-$76K,43000,76000,59500
129,Council On Accreditation,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Social Services,3.8,$43K-$76K,43000,76000,59500
130,Mount Sinai Health System,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,3.4,$43K-$76K,43000,76000,59500
131,Child Mind Institute,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Healthcare,3.2,$43K-$76K,43000,76000,59500
132,Coolsoft,Data Quality Analyst,Mid,"Newark, NJ",Newark,NJ,Small,51–200,51,200,Healthcare,3.2,$43K-$76K,43000,76000,59500
133,451 Research,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Research,3.3,$43K-$76K,43000,76000,59500
134,Amenity Analytics,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,3.8,$43K-$76K,43000,76000,59500
135,"Halcyon Solutions, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,3.3,$43K-$76K,43000,76000,59500
136,Rockstar Games,Data Governance Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,4.1,$43K-$76K,43000,76000,59500
137,Vericred,Senior Data Analyst,Senior,"New York, NY",New York,NY,Small,1–50,1,50,Technology,2.9,$43K-$76K,43000,76000,59500
138,Apco Worldwide,Data Science Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Professional Services,3.4,$43K-$76K,43000,76000,59500
139,Brooklyn Community Services,Data Analyst,Mid,"Brooklyn, NY",Brooklyn,NY,Medium,201–500,201,500,Social Services,2.5,$43K-$76K,43000,76000,59500
140,Softcom Systems,Data Analyst,Mid,"Weehawken, NJ",Weehawken,NJ,Small,1–50,1,50,Technology,4.4,$43K-$76K,43000,76000,59500
141,Diverse Lynx,Healthcare/Clinical Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Technology,3.9,$43K-$76K,43000,76000,59500
142,Ubs,Senior Data Analyst,Senior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.6,$43K-$76K,43000,76000,59500
143,Workforce Logiq,Data Analyst,Mid,"Haworth, NJ",Haworth,NJ,Medium,501–1000,501,1000,Professional Services,3.6,$43K-$76K,43000,76000,59500
144,Cross River Bank,Data Analyst,Mid,"Fort Lee, NJ",Fort Lee,NJ,Medium,201–500,201,500,Financial,3.3,$43K-$76K,43000,76000,59500
145,Nbcuniversal,Data Analyst,Senior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Media/Advertising,3.8,$43K-$76K,43000,76000,59500
146,Narrativ,Senior Data Analyst,Senior,"New York, NY",New York,NY,Small,1–50,1,50,Technology,3.7,$43K-$76K,43000,76000,59500
147,Perficient,Senior Data Analyst,Senior,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.6,$43K-$76K,43000,76000,59500
148,Lorven Technologies Inc,Data Reporting Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,4.0,$60K-$110K,60000,110000,85000
149,Bounce Exchange,Senior Data Analyst,Senior,"New York, NY",New York,NY,Medium,201–500,201,500,Media/Advertising,4.1,$60K-$110K,60000,110000,85000
150,Green Key Resources,Technical Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Technology,4.5,$60K-$110K,60000,110000,85000
151,22Nd Century Technologies,Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.7,$60K-$110K,60000,110000,85000
152,Praescient Analytics,Junior Data Analyst,Junior,"New York, NY",New York,NY,Small,51–200,51,200,Professional Services,3.1,$60K-$110K,60000,110000,85000
153,Software Guidance & Assistance,Data Analyst,Mid,"Jersey City, NJ",Jersey City,NJ,Small,51–200,51,200,Professional Services,3.7,$60K-$110K,60000,110000,85000
154,Citi,Senior Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.7,$60K-$110K,60000,110000,85000
155,Metropolitan Council On Jewish Poverty,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Social Services,3.2,$60K-$110K,60000,110000,85000
156,Tsr Consulting,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Professional Services,3.6,$60K-$110K,60000,110000,85000
157,Ubs,Data Analyst,Mid,"Weehawken, NJ",Weehawken,NJ,Enterprise,10000+,10000,10000,Financial,3.6,$60K-$110K,60000,110000,85000
158,"Take-Two Interactive Software, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Large,1001–5000,1001,5000,Technology,3.7,$60K-$110K,60000,110000,85000
159,Praescient Analytics,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Professional Services,3.1,$60K-$110K,60000,110000,85000
160,Morgan Stanley,Financial Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.8,$60K-$110K,60000,110000,85000
161,Icap At Columbia University,Data Analyst,Mid,"New York, NY",New York,NY,Medium,501–1000,501,1000,Healthcare,4.1,$60K-$110K,60000,110000,85000
162,Columbia University Medical Center,Data Analyst,Mid,"New York, NY",New York,NY,Large,5001–10000,5001,10000,Healthcare,3.8,$60K-$110K,60000,110000,85000
163,Xoriant Corporation,Senior Data Analyst,Senior,"Jersey City, NJ",Jersey City,NJ,Large,1001–5000,1001,5000,Technology,3.7,$60K-$110K,60000,110000,85000
164,Montefiore Medical,Senior Data Analyst,Senior,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Healthcare,3.7,$60K-$110K,60000,110000,85000
165,Cedent Consulting,Data Analyst,Senior,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,3.3,$60K-$110K,60000,110000,85000
166,Acs,Data Analyst,Senior,"New York, NY",New York,NY,Small,1–50,1,50,Other Industries,3.4,$60K-$110K,60000,110000,85000
167,Nadap,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Social Services,3.2,$60K-$110K,60000,110000,85000
168,Sga Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,-1.0,$60K-$110K,60000,110000,85000
169,Vistrada,Senior Data Analyst,Senior,"New York, NY",New York,NY,Small,1–50,1,50,Media/Advertising,5.0,$60K-$110K,60000,110000,85000
170,Disney Streaming Services,Data Analyst,Senior,"New York, NY",New York,NY,Medium,501–1000,501,1000,Technology,3.6,$60K-$110K,60000,110000,85000
171,Royal Communications Consultants Inc,Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,3.0,$60K-$110K,60000,110000,85000
172,Cases,Data Analyst,Mid,"New York, NY",New York,NY,Medium,201–500,201,500,Social Services,3.5,$60K-$110K,60000,110000,85000
173,Sphinix Network Solutions Inc.,Business Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Technology,1.0,$60K-$110K,60000,110000,85000
174,"Staffigo Technical Services, Llc",Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,5.0,$41K-$78K,41000,78000,59500
175,Earnest Research,Data Analyst,Senior,"New York, NY",New York,NY,Small,51–200,51,200,Research,5.0,$41K-$78K,41000,78000,59500
176,Bloomberg,Financial Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Technology,3.8,$41K-$78K,41000,78000,59500
177,Apn Software Services Inc.,Data Analyst,Mid,"New York, NY",New York,NY,Small,51–200,51,200,Technology,4.1,$41K-$78K,41000,78000,59500
178,Acacia Network,Data Analyst,Mid,"Bronx, NY",Bronx,NY,Large,1001–5000,1001,5000,Social Services,3.3,$41K-$78K,41000,78000,59500
179,"Edp World, Inc.",Data Analyst,Mid,"New York, NY",New York,NY,Small,1–50,1,50,Professional Services,3.5,$41K-$78K,41000,78000,59500
180,Citi,Business Data Analyst,Mid,"New York, NY",New York,NY,Enterprise,10000+,10000,10000,Financial,3.7,$41K-$78K,41000,78000,59500
